speaker,line_count,word_count,episode_count,season_count
Ms Corwin,1,8,1,1
Over The Announcement System,1,8,1,1
Woman On Pa,1,8,1,1
A,1,7,1,1
Bev,1,7,1,1
Boy In Wheelchair,1,7,1,1
Cameron's Voice,1,7,1,1
Clinic Patient Monroe,1,7,1,1
Either,1,7,1,1
Female Officer,1,7,1,1
Female Proctor,1,7,1,1
Fireman6,1,7,1,1
Foeman,1,7,1,1
Ilana,1,7,1,1
Operating Nurse,1,7,1,1
Pa Announcer,1,7,1,1
Red Headed Boy's Father,1,7,1,1
Technician,1,7,1,1
Alien,1,6,1,1
B,1,6,1,1
C,1,6,1,1
Convention Registrar,1,6,1,1
E,1,6,1,1
F,1,6,1,1
Fay,1,6,1,1
Female Patient,1,6,1,1
Gps Voice,1,6,1,1
House With A Bemused Grin,1,6,1,1
Janitor,1,6,1,1
Loudspeaker,1,6,1,1
Lucase,1,6,1,1
Masters Looking At The Tv,1,6,1,1
Nic,1,6,1,1
Parks,1,6,1,1
Police Officer,1,6,1,1
Porn Actress,1,6,1,1
Sally,1,6,1,1
Answering Machine,1,5,1,1
Cafeteria Worker,1,5,1,1
Calire,1,5,1,1
Child's Voice,1,5,1,1
Christ,1,5,1,1
Commentator 2,1,5,1,1
D,1,5,1,1
Elderly Guy,1,5,1,1
Fletch,1,5,1,1
Florist,1,5,1,1
Girl 1,1,5,1,1
Guard's Voice,1,5,1,1
House & Evan,1,5,1,1
Kid's Mother,1,5,1,1
Maury,1,5,1,1
Melodie,1,5,1,1
Officer Soltes,1,5,1,1
Old Guy,1,5,1,1
Receptionist,1,5,1,1
Voice On Pa,1,5,1,1
Aide,1,4,1,1
Butterscotch,1,4,1,1
Demonbilly,1,4,1,1
Domonika,1,4,1,1
Doub Mcmurtry,1,4,1,1
Esteban's Mother,1,4,1,1
Flunky,1,4,1,1
Ingrid,1,4,1,1
Jewish Lady,1,4,1,1
